ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp,lat,lon,name,admin1,admin2,cc
40809,55531,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9g=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40808,55532,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9k=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40807,55533,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9o=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40806,55534,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9s=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40805,55535,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa9w=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40804,55536,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa90=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40803,55537,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa94=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40802,55538,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa98=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
40801,55539,Place made,1,North America,,United States,,,,,,,,,,39.76,-98.5,http://www.geonames.org/6252001/united-states.html,AAAAADpPa+A=,39.77918,-98.78507,Smith Center,Kansas,Smith County,US
,,,,,,,,,,,,,,,,,,,,,,,,,
