ObjGeographyID,ObjectID,GeoCode,PrimaryDisplay,Continent,SubContinent,Country,Region,State,City,County,SubRegion,River,Locus,Locale,Excavation,Latitude,Longitude,GeoNames,SysTimeStamp
51243,12540,Place made,1,North America,,United States,,New York,New York,,,,,,,,,http://www.geonames.org/5097612/ellis-island.html,AAAAAEyZOQs=
51244,12545,Place made,1,North America,,United States,,Tennessee,Andersonville,,,,,Stooksberry homestead,,,,http://www.geonames.org/4602702/andersonville.html,AAAAAEyZh9k=
51244,12545,Place made,1,North America,,United States,,Tennessee,Andersonville,,,,,Stooksberry homestead,,,,http://www.geonames.org/4602702/andersonville.html,AAAAAEyZh9k=
51245,12565,Place made,1,North America,,United States,,Pennsylvania,missing,,,,,,,,,http://www.geonames.org/6254927/pennsylvania.html,AAAAAEyabfw=
51245,12565,Place made,1,North America,,United States,,Pennsylvania,missing,,,,,,,,,http://www.geonames.org/6254927/pennsylvania.html,AAAAAEyabfw=
51247,12570,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEyawKI=
51247,12570,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEyawKI=
51246,12574,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEyanWQ=
51246,12574,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEyanWQ=
51248,12576,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya0K8=
51248,12576,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya0K8=
51249,12577,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya268=
51249,12577,Place made,1,North America,,United States,,New York,"Manhattan, New York",,,,,Empire State Building,,,,http://www.geonames.org/5116597/empire-state-building.html,AAAAAEya268=
